project,channel_name,follow_type,has_mention,channel_url,refresh_interval,at_time,last_read
KIZUNA,📢・announcements,announcement,,https://discord.com/channels/936087670390673438/947770779439878155,,,1029736587971530782_2022-10-12T12:45:34.153000+00:00
KIZUNA,🎫・event-giveaways,giveaway,,https://discord.com/channels/936087670390673438/978215337503903744,,,1026363643077599242_2022-10-03T05:22:41.424000+00:00
KIZUNA,🎁・collabs-giveaways,giveaway,,https://discord.com/channels/936087670390673438/981601614160875580,,,1029783609017651231_2022-10-12T15:52:24.844000+00:00
Kyūsen 休戦,╭📣・announcements,announcement,,https://discord.com/channels/945352646460583986/962714105154785330,,,1033669653286895677_2022-10-23T09:14:09.997000+00:00
Petto Kādo,📣┃announcement,announcement,,https://discord.com/channels/1003596556357861376/1003604862350659616,,,1032236505705500742_2022-10-19T10:20:27.580000+00:00
Petto Kādo,🎅🏻┃giveaways,giveaway,,https://discord.com/channels/1003596556357861376/1003596560808017942,,,1033789428780511313_2022-10-23T17:10:06.700000+00:00
Petto Kādo,🎄┃twitter-giveaways,giveaway,,https://discord.com/channels/1003596556357861376/1025064648841637970,,,1033013670055256074_2022-10-21T13:47:31.407000+00:00
Petto Kādo,🤖┃rumble,game,,https://discord.com/channels/1003596556357861376/1026550907992805386,,,1033750532931723395_2022-10-23T14:35:33.207000+00:00
桃源郷-Tougenkyou-,📣│announcement,announcement,,https://discord.com/channels/1010432727939563630/1010941154595975230,,,1033710909438308393_2022-10-23T11:58:06.230000+00:00
Mochi Mo,🎁・fcfs,game,,https://discord.com/channels/1022305292706394163/1025618483385479198,,,1033887134475636816_2022-10-23T23:38:21.553000+00:00
Mochi Mo,🎁・giveaways,giveaway,,https://discord.com/channels/1022305292706394163/1025618466012680263,,,1033913362540671047_2022-10-24T01:22:34.811000+00:00
Avant Garde,🍀┃giveaway-collaboration,giveaway,,https://discord.com/channels/994050675094863893/999966457037328435,,,1033897695573717082_2022-10-24T00:20:19.515000+00:00
OVERBORNE,💬︱announcements,announcement,,https://discord.com/channels/948420954038624317/951682745854205984,,,1032972606502092880_2022-10-21T11:04:21.093000+00:00
OVERBORNE,🍙︱giveaways,giveaway,,https://discord.com/channels/948420954038624317/955334680905928744,,,1033060395507789844_2022-10-21T16:53:19.109000+00:00
OVERBORNE,👑︱rumble,game,,https://discord.com/channels/948420954038624317/983856400717459456,,,1030914165667282965_2022-10-15T18:44:50.554000+00:00
𓇌𓎼𓇋𓊪𓏏𓇋𓄿𓈖 𓎼𓍯𓂧𓊃,𓂋𓍢𓅓𓃀𓃭𓇌,game,,https://discord.com/channels/1026189081891315732/1026812820949585930,,,1033768881036202116_2022-10-23T15:48:27.736000+00:00
Pawradise,🎁┋give-aways,giveaway,,https://discord.com/channels/974566329136869406/974566330009280548,,,1031330002567954492_2022-10-16T22:17:13.797000+00:00
R Planet,🎁│giveaway,giveaway,,https://discord.com/channels/966386292386578452/1021877481453658142,,,1033830948925620374_2022-10-23T19:55:05.874000+00:00
WAFUKU LOVE 〜わふくラブ〜,┝📣｜announcement-english,announcement,,https://discord.com/channels/900142970144174121/1016327930839846942,,,1032919063506194473_2022-10-21T07:31:35.448000+00:00
Gachi,🚨│announcements,announcement,,https://discord.com/channels/882488039702683658/882488039702683661,,,1032234912461377586_2022-10-19T10:13:01.128000+00:00
Gachi,🎁│giveaways,giveaway,,https://discord.com/channels/882488039702683658/882544234211704852,,,1031335834961588254_2022-10-16T22:40:24.348000+00:00
DuDuLab,🏹｜rumble,game,,https://discord.com/channels/1012932804079792132/1027163087586996276,,,1032346952504979507_2022-10-19T17:38:13.556000+00:00
DFT※【DMは詐欺】,┏📣-announcement,announcement,,https://discord.com/channels/940635506247598180/1018640167403278346,,,1033680157254357052_2022-10-23T09:55:54.338000+00:00
🇯🇵-Tokyo Alternative Girls,┣🎁｜giveaway-info,giveaway,,https://discord.com/channels/942376101215359026/952528467491180624,,,1033241131447746690_2022-10-22T04:51:22.429000+00:00
🇯🇵-Tokyo Alternative Girls,┣📢｜announcements,announcement,,https://discord.com/channels/942376101215359026/956385739397038132,,,1030685681380507668_2022-10-15T03:40:02.374000+00:00
"ODEN DAO(AstarCats,ODEN PETS)",🎉｜giveaways,giveaway,,https://discord.com/channels/954722463940501506/967743527733850132,,,1031458853168099369_2022-10-17T06:49:14.174000+00:00
"ODEN DAO(AstarCats,ODEN PETS)",🗡｜rumble,game,,https://discord.com/channels/954722463940501506/958578626712985621,,,1033735882253029446_2022-10-23T13:37:20.213000+00:00
Ronin Lucky Cat,💥｜即時公告板,announcement,,https://discord.com/channels/945578020649971762/992874613048623304,,,1032932307037847563_2022-10-21T08:24:12.952000+00:00
Coco Taqqi,🎊quick-giveaways,game,,https://discord.com/channels/1003612237627412490/1004435564352765992,,,1031613352042045481_2022-10-17T17:03:09.576000+00:00
Bear_Friends,「📣」mini-announcements,announcement,,https://discord.com/channels/1007472582888534120/1007474636734337034,,,1033407636823101440_2022-10-22T15:53:00.404000+00:00
Bear_Friends,「🎉」giveaways,giveaway,,https://discord.com/channels/1007472582888534120/1007474688890511391,,,1033757852747169792_2022-10-23T15:04:38.387000+00:00
Star Birdies,📢│announcements,announcement,,https://discord.com/channels/1016469015234871394/1016484275652137050,,,1033403043355566080_2022-10-22T15:34:45.236000+00:00
Star Birdies,🔊│minor-announcements,announcement,,https://discord.com/channels/1016469015234871394/1022539628982567055,,,1033006445534384179_2022-10-21T13:18:48.947000+00:00
Star Birdies,🎁│giveaways,giveaway,,https://discord.com/channels/1016469015234871394/1016484288134398042,,,1033764680713379932_2022-10-23T15:31:46.301000+00:00
SearchFi,🎉ㅣpublic-giveaway,giveaway,,https://discord.com/channels/961242951504261130/961260868513955861,,,1033881301356396695_2022-10-23T23:15:10.829000+00:00
SearchFi,🎉ㅣsuperful-giveaway,giveaway,,https://discord.com/channels/961242951504261130/1004017894662881391,,,1033881725639590029_2022-10-23T23:16:51.986000+00:00
Kingu,「📣」announcement,announcement,,https://discord.com/channels/981829512230740009/981829514306940944,,,1033381740313575435_2022-10-22T14:11:24.930000+00:00
Kingu,「🎮」rumble-royal,game,,https://discord.com/channels/981829512230740009/982153644784906270,,,1024933222821400636_2022-09-29T06:38:42.659000+00:00
Vivity,📣│announcements,announcement,,https://discord.com/channels/1003220642633633792/1003222031342522399,,,1033856500252287067_2022-10-23T21:36:37.785000+00:00
Vivity,🎁│giveaway,giveaway,,https://discord.com/channels/1003220642633633792/1003237632421154816,,,1033791217600827613_2022-10-23T17:17:13.188000+00:00
caTank,📣-お知らせ,announcement,,https://discord.com/channels/1012566778578219040/1012582651741347860,,,1032904850612170773_2022-10-21T06:35:06.830000+00:00
MMMM_OFFICIAL,🎁｜give-aways,giveaway,,https://discord.com/channels/1001818438026674247/1002405333228081283,,,1032297318352961588_2022-10-19T14:20:59.852000+00:00
DreamBeatz!,🎉｜collab-giveaway,giveaway,,https://discord.com/channels/954984642329583616/954990388328943666,,,1033864637000728606_2022-10-23T22:08:57.737000+00:00
InvestManDao,📢│announcement,announcement,,https://discord.com/channels/933289487121915904/933291224226496523,,,1031896627453120552_2022-10-18T11:48:47.697000+00:00
InvestManDao,🎁│public-giveaway,giveaway,,https://discord.com/channels/933289487121915904/943818329926303745,,,1025079049430761576_2022-09-29T16:18:10.432000+00:00
呢喃貓學院 murmurcats,📢｜貓貓公告,announcement,,https://discord.com/channels/928546022861467648/929657082448334938,,,1032960284714864640_2022-10-21T10:15:23.350000+00:00
呢喃貓學院 murmurcats,🎉｜私群抽獎,giveaway,,https://discord.com/channels/928546022861467648/940903893750136842,,,1033030081276297279_2022-10-21T14:52:44.147000+00:00
Tanukiverse,🎉┃collab-wl,giveaway,,https://discord.com/channels/924675060617343037/1008720141112049684,,,1033822373402656828_2022-10-23T19:21:01.310000+00:00
Tanukiverse,🎉┃premium-collabs,giveaway,,https://discord.com/channels/924675060617343037/1022077139543146557,,,1029823365206261841_2022-10-12T18:30:23.458000+00:00
TENYA (Free Mint),📯-major-announcements,announcement,,https://discord.com/channels/1001033812203028550/1001033812903460916,,,1033819029166633051_2022-10-23T19:07:43.982000+00:00
TENYA (Free Mint),🎺-minor-announcements,announcement,,https://discord.com/channels/1001033812203028550/1001041506192343060,,,1032332838676209704_2022-10-19T16:42:08.557000+00:00
Sweat Economy,📢│announcements,announcement,,https://discord.com/channels/945374789026070618/945374789835571206,,,1033016595582287902_2022-10-21T13:59:08.907000+00:00
STEPN,🛰︱-announcement,announcement,,https://discord.com/channels/890163015561932840/907818005902295120,,,1032520027208941618_2022-10-20T05:05:57.781000+00:00
XPG,📢丨官方公告,announcement,,https://discord.com/channels/963647114196439091/983205931535990855,,,1027455265060163594_2022-10-06T05:40:24.386000+00:00
XPG,📢丨次要公告,announcement,,https://discord.com/channels/963647114196439091/986930529133789224,,,1033798455577026690_2022-10-23T17:45:58.856000+00:00
Summer Coco,📣│announcements,announcement,,https://discord.com/channels/1001517220788191373/1001517221715124256,,,1033738881822105610_2022-10-23T13:49:15.366000+00:00
Summer Coco,🍺｜coco-giveaway,giveaway,,https://discord.com/channels/1001517220788191373/1022539651485020259,,,1033302046687891496_2022-10-22T08:53:25.754000+00:00
Summer Coco,🎁｜raffles,giveaway,,https://discord.com/channels/1001517220788191373/1014535504345178112,,,1033688843905413151_2022-10-23T10:30:25.397000+00:00
AORUS Falcon Warriors Club,📣｜announcements,announcement,,https://discord.com/channels/1008667527330664479/1008746908715597864,,,1032713241559846972_2022-10-20T17:53:43.672000+00:00
AORUS Falcon Warriors Club,🎁｜giveaway,giveaway,,https://discord.com/channels/1008667527330664479/1021314943959703552,,,1027455265060163594_2022-10-06T05:40:24.386000+00:00
UEJJ,🎁－白单抽奖－,giveaway,,https://discord.com/channels/986912805477298186/994136870982275122,,,1033761827118645289_2022-10-23T15:20:25.951000+00:00
UEJJ,🎉－superful－,giveaway,,https://discord.com/channels/986912805477298186/1005039754670260254,,,1030737351191834714_2022-10-15T07:02:14.698000+00:00
Kyūsen 休戦,┆📣・announcements,announcement,,https://discord.com/channels/945352646460583986/1025656859400618044,,,1026499053112008764_2022-10-03T14:21:22.251000+00:00
𝐄𝐭𝐡𝐞𝐫𝐮𝐤𝐨,📢-announcement,announcement,,https://discord.com/channels/997036565161312266/997036565161312269,,,1032958764371951626_2022-10-21T10:17:26.082000+00:00
𝐄𝐭𝐡𝐞𝐫𝐮𝐤𝐨,🎲-give-away,giveaway,,https://discord.com/channels/997036565161312266/1004628387534491719,,,1033725005139279954_2022-10-23T12:54:06.907000+00:00
PROJECT GATTO,📢│announcement,announcement,,https://discord.com/channels/1016023293117075466/1016027070993809418,,,1031265428854550579_2022-10-16T18:00:38.224000+00:00
PROJECT GATTO,📋│giveaway-raffles,giveaway,,https://discord.com/channels/1016023293117075466/1016030217799745547,,,1033853339684839444_2022-10-23T21:24:04.247000+00:00
MAKIZUSHI,📣・announcements,announcement,,https://discord.com/channels/1008585703103410288/1008588698276876408,,,1032924555070685204_2022-10-21T07:53:24.739000+00:00
MAKIZUSHI,💥・giveaway,giveaway,,https://discord.com/channels/1008585703103410288/1022542477024047175,,,1032673154428059688_2022-10-20T15:14:26.155000+00:00
Rooit - Play & Chat!,🎯｜中文公告,announcement,,https://discord.com/channels/910787224679886928/912957065562038342,,,1031531508156092416_2022-10-17T11:37:56.473000+00:00
Rooit - Play & Chat!,💝｜giveaway,giveaway,,https://discord.com/channels/910787224679886928/1023156955205861396,,,1031265428854550579_2022-10-16T18:00:38.224000+00:00
